Episode,Company ,Idea,Industry,Social Benefit,Tech or not,Deal ,Number of presenters,No of male presenters,No of female presenters,Ask_Amount (INR Lakhs),Ask_Equity,Ask_Valuation (INR Lakhs),Number of Sharks invested,Amount per Shark ,Equity per Shark,Reject_Offer,Receive_Offer,Deal_Amount (INR Lakhs),Deal_Equity,Deal_Valuation ,AshneerGrover_present,AnupamMittal_present,AmanGupta_present,NamitaThapar_present,VineetaSingh_present,PeyushBansal_present,GhazalAlagh_present,AshneerGrover_deal,AnupamMittal_deal,AmanGupta_deal,NamitaThapar_deal,VineetaSingh_deal,PeyushBansal_deal,GhazalAlagh_deal,Season
18,Anthyesti,Funeral Service,Hospitality,0,0,0,1,0,1,50,2.5,2000,0,0,0,NA,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
19,Ethik,Leather-free Shoes,Clothing,0,0,0,2,2,0,15,5,300,0,0,0,NA,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
19,WeSTOCK,Livestock health monitoring AI,Technology,1,1,1,2,2,0,50,5,1000,4,15,2.5,0,1,60,10,600,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1
19,KetoIndia,Customised Keto Diets for various medical issues,Food and Bevs,1,0,0,1,1,0,125,1.25,10000,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
19,Magic lock,LPG Cylinder lock,Home utility,0,0,0,3,3,0,120,8,1500,0,0,0,NA,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
20,The State Plate,Delicacies,Food and Bevs,0,0,1,2,1,1,65,2,3250,1,40,3,0,1,40,3,1333.33,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1
20,Bakarmax,Comics & Animation,Entertainment,0,0,0,2,2,0,35,5,700,0,0,0,NA,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
20,IN A CAN,Can Cocktails,Food and Bevs,0,0,1,2,2,0,50,2,2500,5,20,2,0,1,100,10,1000,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1
21,Get a Whey,Sugar-Free Icecream,Food and Bevs,1,0,1,2,1,1,100,8,1250,3,33.33333333,5,0,1,100,15,666.67,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1
21,Sid07 Designs,Inventions,Home utility,0,0,1,1,1,0,47,10,470,1,25,75,0,1,25,75,33.33,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1
21,The Quirky Nari,Customised Apparels,Clothing,0,0,1,1,0,1,35,5,700,2,17.5,12,0,1,35,24,145.83,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1
