Series or Movie,IMDb Score,Rotten Tomatoes Score,Awards Received,Awards Nominated For,Boxoffice,Hidden Gem Score
Movie,8.4,97,79,55,190241310,4.5
Movie,7.2,51,16,32,115637895,3
Movie,7.4,67,16,23,11018,5.3
Movie,6.9,75,17,21,515876,7.5
Movie,6.1,50,0,0,104013,7.6
Movie,7.8,93,3,4,509,4.5
Movie,5.3,25,2,1,117450119,2.1
Movie,6.6,76,1,15,83240103,3.4
Movie,7.3,86,8,47,328828874,3.8
Movie,5.7,14,0,0,990230,1.7
Movie,7.6,73,6,7,24801212,3.5
Series,5.3,53,3,1,482341,7.3
Movie,7.1,87,0,8,1584759,3.8
Movie,7.5,96,43,208,49275340,4.2
Movie,6.9,91,13,62,174532921,3.9
Movie,6.6,79,0,12,120634935,3.4
Movie,6.3,31,1,5,1042905,3.2
Movie,7.3,86,8,47,328828874,3.8
Movie,6.3,59,1,18,271094731,2.9
Movie,7,68,5,8,817339,3.4
Movie,5.8,35,0,0,21786,5.8
Movie,6.6,71,0,3,55683845,3.2
Movie,6.2,85,2,7,6235,3.7
Movie,6.7,49,2,2,1377,3
Movie,6.5,12,0,4,35418723,1.8
Movie,7.2,88,20,111,81903458,4
Movie,7.5,98,18,92,42873127,4.3
Movie,6.8,80,0,15,25113707,3.7
Movie,6.9,70,0,0,123445,8.2
Movie,7.4,94,7,18,4333394,4.1
Movie,6.6,37,1,0,15767460,2.4
Movie,5.6,45,4,6,145443742,2.5
Movie,6.1,58,1,1,6708147,2.9
Movie,7.2,96,24,53,22680962,4.2
Movie,5.4,14,1,0,1092,6.5
Movie,7.7,97,22,37,220159104,4.3
Movie,6.7,82,2,10,3703184,3.6
Movie,7.6,89,4,11,230808,8
Movie,6.4,91,8,19,129124,5.8
Movie,7.6,93,13,51,14051361,4
Movie,6.7,78,10,18,51687870,3.5
Movie,7.3,100,1,3,13926,9.2
Movie,5.8,34,0,3,5718096,2.1
Movie,5.1,7,0,1,6700035,1.4
Movie,5.8,48,0,4,68420120,2.6
Movie,5.5,27,1,1,46840590,2.1
Movie,7,91,3,5,13746,8
Movie,6.9,89,23,7,4015935,7.6
Movie,6.2,64,1,3,686435,7.8
Movie,7.1,73,0,3,127564,7.3
Movie,7.2,82,1,4,63204,8.1
Movie,6.5,67,2,5,594552,7.8
Movie,7.4,80,4,10,7362439,3.7
Movie,7.5,63,8,17,222001,7.7
Movie,6.5,92,1,0,817990,8.7
Movie,4.3,18,0,1,20738724,3
Movie,5.7,0,0,0,4764,4.3
Movie,5.5,65,0,3,713143,3.8
Movie,6.8,93,6,23,1050616,4
Movie,5.1,29,0,0,24262,6.5
Movie,6.2,21,0,1,9623329,2.1
Movie,6.4,45,5,2,3744,7.5
Movie,6.5,57,0,1,24011188,3
Movie,7.1,69,0,2,33531,8.1
Movie,6,70,33,37,5971413,3.1
Series,7.8,74,42,116,54117416,3.7
Movie,5.6,47,0,0,46700633,2.6
Movie,5.2,56,0,1,69488745,2.7
Movie,6.8,91,0,9,29790236,3.8
Movie,6.8,69,3,14,140218711,3.3
Movie,6.3,62,1,0,167937,6.5
Movie,7.3,92,0,0,158646,8.9
Movie,6.8,13,2,4,4102648,1.7
Movie,6.1,23,1,0,36108758,2
Movie,5.4,24,2,10,20706452,1.8
Movie,5.2,16,1,4,41411015,1.7
Movie,6.6,95,4,12,704955,7.5
Movie,6.1,21,0,5,13670688,2
Movie,5.7,41,0,0,90869,7.2
Movie,7,87,3,23,9369755,3.9
Movie,6.2,84,1,6,60311495,3.6
Movie,5.5,63,0,0,401463,5.8
Movie,7,86,6,5,472166,6.9
Movie,6.3,79,5,29,10709995,3.6
Movie,6.2,47,4,26,417719760,2.7
Movie,6.6,46,3,3,17560475,4.1
Movie,7.2,100,17,90,6046104,4.3
Movie,5.5,77,0,0,1182636,6.4
Movie,4.5,36,2,2,45852178,2.1
Movie,6.7,86,5,13,580346,6.8
Movie,6.7,60,0,0,110986,7
Movie,5.4,29,0,0,7793,2.1
Movie,4.5,4,0,0,6069605,3
Movie,6.3,43,0,3,67743,5.9
Movie,5.8,67,1,6,41888,7.3
Movie,7.1,63,1,7,50072235,3.2
Movie,6,49,3,4,33562069,2.7
Movie,6.8,78,2,5,57520,3.5
Movie,7.3,82,5,19,16790139,3.9
Movie,6.7,30,3,9,213515506,2.2
Movie,7.8,99,1,11,1257275,6.2
Movie,6.6,86,5,15,904703,3.7
Movie,7.2,85,0,3,51342000,3.7
Movie,5.6,73,4,8,15856,5.1
Movie,5.6,69,0,0,76289,3.2
Movie,7.2,95,18,38,8047856,4.2
Movie,5.3,38,0,0,5007,6.3
Movie,3.2,8,0,3,30569484,1.2
Movie,6.7,51,1,4,102084362,2.8
Movie,6.1,86,0,2,100335,7.5
Movie,6.5,56,0,2,54730625,2.9
Movie,5.8,17,1,1,43549096,2.8
Movie,5.9,45,2,5,124741,3.2
Movie,6.1,95,1,1,5802208,7.9
Movie,4.6,22,3,1,9893,5.2
Movie,6.3,68,0,0,745971,3.3
Movie,5.4,20,3,5,8547045,1.9
Movie,6.7,80,1,0,35857181,3.5
Movie,5.6,43,0,6,59874525,2.4
Movie,8.1,100,6,6,1082223,4.4
Movie,7.5,36,2,0,1591034,5.7
Movie,7.5,97,8,4,578717,8.3
Movie,7.4,99,61,89,13539709,4.4
Movie,5.8,60,0,0,1201434,6.4
Movie,5.7,48,0,9,84809,2.7
Movie,6,39,2,2,32149404,2.6
Movie,5.9,70,1,8,48791187,3.1
Movie,6.5,53,0,1,3435047,2.7
Movie,7.6,92,6,10,26020957,4
Movie,5.8,44,2,1,39282227,2.5
Movie,5.4,27,4,10,1035388,2
Movie,6,43,0,0,144396,5.1
Movie,5.6,38,3,4,53059911,2.3
Movie,7,90,2,5,199767,7.6
Movie,7.3,89,44,105,44069456,4.2
Movie,6.8,76,0,4,58571513,3.5
Movie,5.4,10,0,1,10232081,1.6
Movie,8,83,28,59,22455976,4
Movie,6.7,72,0,1,30230,7
Movie,6.9,92,3,9,2386251,3.8
Movie,6.9,92,12,31,400961,7.1
Movie,5.6,17,0,0,2846257,6.3
Movie,5.1,15,0,0,5059608,1.7
Movie,5.8,24,0,0,3326885,2.2
Movie,7.6,89,24,17,6170998,3.8
Movie,8,83,51,38,184208848,3.9
Movie,8,94,27,44,167445960,4.2
Movie,8.4,97,53,32,22835787,4.4
Movie,4.6,19,0,6,73206343,2.7
Movie,6.5,83,7,28,365639,7.5
Movie,5.8,52,0,5,6701,5.4
Movie,6.6,77,1,1,9536300,3.5
Movie,6.3,62,2,9,167510016,3
Movie,4.8,0,0,7,4343227,1.2
Movie,6.1,52,0,7,101028233,2.6
Movie,7.3,100,23,34,500803,7.2
Movie,7.5,72,11,56,137690172,3.5
Movie,6.1,54,2,3,68566296,2.8
Movie,6.6,92,4,18,117629,7.7
Movie,6.9,78,6,6,13128,5.7
Movie,7.1,44,6,10,1200246,5.1
Movie,6.3,82,1,4,2008385,7.5
Movie,7.5,96,34,114,188024361,4.2
Movie,6.6,69,0,6,31445012,3.2
Movie,6.9,93,3,8,10360553,4
Movie,6.6,22,1,3,4504974,2
Movie,7.4,82,0,1,193833,8.1
Movie,6.3,33,0,1,2401722,4.5
Movie,7.8,100,3,5,81345,8.1
Movie,6,27,0,3,9186156,2.1
Movie,6.4,18,0,4,34017028,1.9
Movie,6.4,63,0,1,6102076,3
Movie,6.2,32,0,0,725223,3.6
Movie,6.9,96,2,4,16270600,4.1
Movie,6.8,67,1,1,3560604,5.1
Movie,6,24,3,10,50316123,2.1
Movie,6.1,80,1,10,8267544,3.5
Movie,6.9,85,4,19,69179066,3.7
Movie,6.6,21,0,9,9561064,2.1
Movie,6,73,1,6,35656131,3.2
Movie,5.4,16,6,17,80227895,1.7
Movie,6.3,51,0,7,58250803,2.7
Movie,8.3,92,27,25,1193046,4.4
Movie,6.3,59,1,1,5700,5.8
Movie,5.7,33,7,11,428318,7.1
Movie,6.5,76,10,16,87639,6.3
Movie,8.1,90,12,19,32868943,4.2
Movie,7.2,98,18,15,875751,7
Movie,3.1,38,2,5,23462,5.7
Movie,6.4,77,2,2,1055287,3.3
Movie,3.3,26,0,0,43788,6.2
Movie,6.1,40,0,2,4969853,2.5
Movie,6.5,56,14,33,1588150,3
Movie,5.2,39,0,0,24586708,2.3
Movie,6.5,51,0,1,10230620,5.3
Movie,4.7,12,0,4,41797066,1.5
Movie,5.1,67,0,0,2263,4.2
Movie,6.7,80,31,41,1543547,5.6
Movie,7.3,67,0,0,2000620,5.6
Movie,5.3,38,0,0,5007,6.3
Movie,5.8,67,0,1,8527743,5.7
Movie,5.7,22,0,0,14838,3.7
Movie,5.8,83,8,30,178471,7.7
Movie,5,26,0,0,47919,6.8
Movie,5.3,23,1,3,36276286,2
Movie,7.5,67,0,0,54324,8.2
Movie,4.2,28,0,0,280668,6
Movie,6.6,84,4,21,3498782,3.7
Movie,6.7,25,0,0,16376066,2.1
Movie,8.4,98,17,22,81900459,4.5
Movie,7.7,78,4,2,16407,5.9
Movie,6.1,64,0,0,131105,6.2
Movie,4.5,36,0,0,87838,6.8
Movie,4,50,0,0,3000,7.1
Movie,8.2,89,11,12,40311,4.3
Movie,7.7,68,7,2,80037,3.6
Movie,7.2,80,4,8,440525,3.8
Movie,6.8,67,0,1,10017,7.7
Movie,6.3,62,0,2,222098,5
Movie,5.6,26,0,0,5127,6.7
Movie,4.2,20,0,0,24502,6.3
Movie,4.9,20,0,0,364932,5.3
Movie,5,53,0,0,125547,6.4
Movie,4.7,42,0,0,168643,5.8
Movie,7.5,75,17,19,206040,7.5
Movie,7,50,2,0,17077,7.1
Movie,6.8,80,0,0,30949,8.2
Movie,7.7,78,11,32,1122527,3.2
Movie,5.4,49,0,1,58403,6.1
Movie,5.3,70,0,0,6501381,2.5
Movie,6.7,67,2,12,226008385,3.2
Movie,7.7,98,151,199,176040665,4.3
Movie,8,89,35,16,6738000,4.2
Movie,5.5,70,0,2,26630,4.1
Movie,5.5,17,0,1,17501244,1.6
Movie,7.7,40,13,24,7909317,2.9
Movie,7.4,46,0,1,390077,5.8
Movie,7.3,90,9,16,27634716,3.8
Movie,7.2,81,6,7,2402004,3.7
Movie,7.3,81,3,7,71712,5.2
Movie,5.3,33,0,1,102890,6.4
Movie,6.5,57,1,0,66995879,2.6
Movie,5.8,22,1,2,422,2
Movie,7,53,1,2,1978592,2.9
Movie,6.6,60,0,1,17612099,3.1
Movie,6.9,90,2,8,4211129,3.9
Movie,6.6,52,18,31,206040086,2.9
Movie,7.3,90,20,2,15516,5.1
Movie,7.4,92,7,10,334201140,4
Movie,6.5,54,2,10,11962778,2.9
Movie,5.9,78,0,3,3986245,4.4
Movie,5,25,1,4,20877013,2.4
Movie,5.8,22,2,10,139059,6.5
Movie,7.1,83,7,3,298347,6.8
Movie,6.4,65,2,4,52000688,3
Movie,5.6,16,0,4,50701325,1.8
Movie,5.2,44,1,1,22105643,2.5
Movie,6.8,86,13,10,1918403,3.7
Movie,7.9,94,97,255,18095701,4.4
Movie,6.9,76,6,18,404540171,3.4
Movie,6.1,43,0,2,50839,7.3
Movie,5.7,33,0,6,67745330,2.3
Movie,8,88,97,154,92054159,4.2
Movie,7.8,96,129,255,47695371,4.5
Movie,6.4,81,0,4,17395520,3.5
Movie,5.2,4,1,4,16883115,1.4
Movie,7.6,92,42,65,107825862,4.2
Movie,6.8,81,14,49,4601043,3.6
Movie,7.6,75,8,16,718766,3.8
Movie,6.4,60,0,2,30116,8
Movie,7.4,76,9,29,1291827,3.8
Movie,6.5,83,11,17,861740,4.1
Movie,5.7,42,5,10,754268,5.1
Movie,8.2,89,13,13,7461,4.3
Movie,6.4,80,3,2,710508,4.8
Movie,6.1,33,2,6,213476,6.5
Movie,7.6,75,35,23,3440718,3.7
Movie,6.1,36,11,16,879913,3.8
Movie,6.7,75,19,22,418392,5
Movie,7,40,22,18,9017,6.5
Movie,5.6,25,0,1,20783704,1.9
Movie,6.6,67,0,7,30234022,3.1
Movie,8,85,4,29,132422809,3.9
Movie,5.1,47,0,0,6115825,2.2
Movie,5.4,40,1,0,43579163,2.1
Movie,6.5,92,5,8,272020,4
Movie,7.3,77,9,23,138291365,3.5
Movie,6.9,92,1,6,14453,4
Movie,7.6,87,0,3,18343983,3.9
Movie,4.7,12,0,0,3010,1.6
Movie,5.5,13,6,9,25091816,1.6
Movie,6.6,47,1,3,1016985,2.8
Movie,7.7,100,25,9,29426,5.3
Movie,6.8,87,10,45,27383770,3.8
Movie,7.2,87,3,6,365412,7.1
Movie,7,88,25,86,7751969,4
Movie,6.3,40,2,13,229024295,2.5
Movie,6.3,55,0,0,37903295,2.7
Movie,5.1,56,4,4,7362,3.4
Movie,5.8,33,0,0,38052832,2.2
Movie,6.6,63,4,16,115253424,3
Movie,5.5,37,2,3,26830068,2.4
Movie,7,42,0,0,44947622,2.7
Movie,7.6,42,0,2,57376,4.5
Movie,7.2,71,4,7,29819114,3.5
Movie,4.6,32,0,1,257868,5.7
Movie,6.3,56,0,1,36343858,2.9
Movie,3.8,4,1,3,47319572,3.9
Movie,7.1,47,1,2,450594,2.7
Movie,6.1,81,1,7,76916,6
Movie,6.2,69,0,3,32138862,3.1
Movie,5.6,33,0,0,35419122,2.1
Movie,6.7,46,3,7,25052000,2.7
Series,5.6,51,4,6,569280,7.4
Movie,6.3,43,17,13,56550,7.5
Movie,6.3,33,0,1,2401722,4.5
Series,7.1,63,1,4,25697647,2.9
Series,6.3,47,0,2,10736401,2.8
Series,7.4,61,7,8,77872883,3.2
Series,6.4,97,16,21,112282,8.2
Movie,7.2,84,75,187,16377274,4
Movie,7.2,75,28,26,13703,7.7
Series,7.7,84,6,5,882267,4
Movie,3.5,35,0,0,197183,5.4
Movie,5.7,36,0,4,1264339,2.2
Movie,2.4,0,5,1,169181,3.1
Movie,6.1,55,6,10,270207,5.1
Movie,6.1,60,7,17,596591,6.1
Movie,7.4,77,3,0,6330,5.2
Movie,8.1,87,28,27,1048143,4.2
Movie,5.4,15,0,3,528799,4.5
Movie,6.4,53,1,1,48017402,3
Movie,5.1,31,0,0,12277096,5.2
Movie,6.8,89,2,6,256451,7.9
Movie,7.4,96,1,14,55758,6.4
Movie,5.6,20,1,0,25584504,1.8
Movie,4.4,26,2,15,123309890,1.8
Movie,5.7,47,1,16,24449754,2.8
Movie,7,71,0,0,6587,7.9
Movie,5.3,16,1,1,33700160,1.5
Movie,5.5,35,1,7,48795601,2.3
Movie,5.8,21,0,0,30353973,1.7
Movie,6.9,75,20,52,124740460,3.4
Movie,7,67,35,35,306169268,3.3
Movie,8.3,97,20,23,85160248,4.4
Movie,6.2,54,7,21,47795658,3
Movie,6.5,70,1,0,626164,3.4
Movie,5.6,20,2,4,80282231,1.7
Movie,6.6,40,1,1,6423605,4.3
Movie,6,21,1,11,104029443,1.8
Movie,6.2,34,0,2,36249674,2.4
Movie,7.5,90,46,120,30014539,4
Movie,6.1,46,4,6,21885107,4.4
Movie,7.1,64,3,16,16759216,3.1
Movie,6.3,92,12,47,1087585,4
Movie,7.7,92,7,6,1300682,4.1
Movie,5.3,57,2,1,6877,6.2
Movie,7.2,71,8,23,146282411,3.4
Movie,5.9,8,1,3,19474589,1.9
Movie,7.5,77,5,30,176387405,3.5
Movie,6.8,100,5,9,4168,7.8
Movie,6.6,71,0,15,836225,3.4
Movie,6.2,79,0,2,11753,4.2
Movie,6.9,46,3,13,196573705,2.7
Movie,7.1,80,1,2,1207007,3.8
Movie,5.2,20,0,0,55418,6.5
Movie,6.3,31,1,5,22017,2.3
Movie,7.3,67,16,18,1908823,3.5
Movie,7.3,86,8,47,328828874,3.8
Movie,6,56,0,7,59281555,2.8
Movie,7,30,1,12,100014699,2.3
Movie,6.4,82,0,1,5019226,3.6
Movie,6.9,96,22,29,104297,5.5
Movie,7.8,92,64,228,189740665,4.4
Movie,7,79,9,13,129795554,3.7
Movie,5.4,29,0,1,217644,2.1
Movie,6.2,44,2,7,1738477,2.6
Movie,6.3,42,1,6,40896334,4
Movie,7.4,99,116,224,48958273,4.5
Movie,4.5,9,0,1,19221939,1.2
Movie,3.8,45,0,0,4176,2.1
Movie,7,93,15,46,147391,4
Movie,7.4,91,31,79,21120616,4
Movie,6.6,77,0,1,9077269,3.2
Movie,7.6,93,2,5,113164,4.1
Movie,6.6,68,9,41,17800004,3.5
Movie,5.7,57,0,5,6303560,6.7
Movie,5.2,14,2,4,17373527,1.7
Movie,6.7,77,1,5,47624353,3.4
Movie,6.5,78,2,6,4077333,4.3
Movie,6,75,2,8,7115854,3.8
Movie,6.1,76,0,0,289308,5.6
Movie,7.2,52,1,2,17273059,3
Movie,6.3,64,2,1,254536,7
Movie,7.6,90,2,5,406490,6.9
Movie,6.5,71,1,7,102092201,3.3
Movie,7.9,99,36,40,953717,4.5
Movie,6.4,36,0,0,19306362,2.5
Movie,6.5,79,1,2,2133158,3.6
Movie,4,39,0,0,573904,6.2
Movie,6.9,81,2,15,1014507,3.8
Movie,7.1,75,1,0,5839031,3.3
Movie,7.6,73,1,2,40903593,3.4
Movie,3.6,5,8,8,598645,1
Movie,5.5,16,0,3,8745680,1.5
Movie,6.1,82,2,7,35144505,3.5
Movie,6.2,60,0,0,754928,3
Movie,5,92,0,0,4537,5.9
Movie,6.3,100,0,1,74909,8.4
Movie,7,81,10,36,1747060,3.8
Movie,7,64,0,1,72778712,3.3
Movie,7.9,82,15,50,5879835,3.9
Movie,7.9,92,0,0,327958,4.3
Movie,8.2,97,3,3,1827696,4.5
Movie,8.1,95,0,0,20206622,4.2
Movie,6.2,56,1,3,588606,4.5
Movie,6.5,57,4,11,1409499,3
Movie,5.1,12,0,2,32116746,1.6
Movie,6,78,0,0,62398,8
Movie,7.6,96,66,129,5904366,4.4
Movie,7,80,5,53,2291901,3.7
Movie,6.3,58,0,33,264624300,2.8
Movie,6.6,71,0,7,11103205,3.3
Movie,7.1,30,0,1,11916661,2.3
Movie,7.2,90,0,5,298032,4.1
Movie,6.4,79,6,15,3496795,4.7
Movie,7.2,76,1,4,32192570,3.5
Movie,6.8,64,8,2,266959,5.6
Movie,6.2,23,4,1,34343574,2.1
Movie,6.8,67,0,1,101300000,3.2
Movie,6.5,89,8,2,20369,3.7
Movie,6.6,16,0,0,10178331,2
Movie,7.7,100,3,2,20123742,4.4
Movie,6.5,48,1,2,18635620,3.1
Movie,6,17,1,1,17514553,4.8
Movie,4.8,30,0,1,742,2
Movie,6.4,87,4,3,150191,6.6
Movie,5.5,12,1,2,13583690,1.4
Movie,5.1,0,0,2,3778,5.3
Movie,6.2,76,0,3,22815,3.5
Movie,6.7,76,36,26,3597372,3.6
Movie,6.5,47,0,10,41189488,2.7
Movie,7.7,98,31,39,335609,4.3
Movie,7.2,78,0,3,48650,7.2
Movie,6.3,33,10,21,122006740,2.2
Movie,7.4,93,24,71,412815408,4.1
Movie,7.8,96,5,14,2930414,4.1
Movie,7.1,88,7,21,89217875,3.8
Movie,5.4,33,0,7,124187,6.6
Movie,6.2,10,0,1,2455635,1.8
Movie,6.8,88,16,56,32732301,3.9
Movie,5.5,100,0,0,3351,6.6
Movie,7.5,74,20,148,10663357,3.6
Movie,6.7,72,1,0,1105717,4.7
Movie,6.3,21,3,2,57386418,1.9
Movie,6.5,57,2,3,67638368,2.9
Movie,7.2,97,9,29,1017107,4.3
Movie,5.1,38,0,0,14073,6.9
Movie,7.8,85,22,51,6735118,3.8
Movie,7.7,88,14,26,33800859,4
Movie,6.7,30,0,10,39175066,2.3
Movie,7.7,83,17,33,2096000,3.8
Movie,7.2,35,0,3,64508620,2.5
Movie,3.7,33,0,6,1431255,2.2
Movie,6.4,85,12,16,473771,3.8
Movie,7.6,90,7,18,71516617,3.9
Movie,3.9,17,0,0,2335162,1.4
Movie,4.3,7,3,1,28411210,1.2
Movie,7,64,2,3,17571660,3.2
Movie,7.3,89,109,251,182207973,4.1
Movie,6.1,49,1,0,1281258,2.6
Movie,7.7,95,20,54,313215,4.2
Movie,7.2,77,1,1,91335,5.5
Movie,6.4,84,0,1,191900,7
Movie,7.5,89,4,10,92029184,4
Movie,6.7,85,6,13,27741,3.6
Movie,7.3,96,1,6,21439,8.8
Movie,7.2,68,1,4,490131,3.2
Movie,5.1,28,0,2,11368012,2.1
Movie,3.3,7,7,3,86089513,0.9
Movie,6.6,85,2,9,3024308,3.7
Movie,6.6,87,6,31,8580410,3.9
Movie,6.9,52,3,9,75530832,2.9
Movie,5.5,17,5,11,58060186,1.8
Movie,5.2,15,4,19,130168683,1.6
Movie,3.8,5,4,17,23384939,0.9
Movie,6.6,82,0,0,45018541,3.3
Movie,6.5,44,4,12,75395035,2.6
Movie,6.4,74,5,24,128350574,3.3
Movie,5.8,32,1,0,27020284,2.2
Movie,4.5,14,1,1,196458,5.8
Movie,6.2,87,3,15,73921000,3.6
Movie,7.4,92,6,49,2026499,4.1
Movie,6.6,50,0,1,9103,7.5
Movie,5.6,32,1,1,72110659,2.2
Movie,6.8,38,0,1,59425,7.2
Movie,6.9,91,12,20,1596371,4.1
Movie,6.9,73,17,16,4702420,3.5
Movie,6.3,78,1,15,55124043,3.3
Movie,6.5,58,0,2,41012075,3
Movie,7.1,82,3,16,134529403,3.7
Movie,6.1,49,0,3,42158780,4.7
Movie,4.6,16,1,2,3262,5.3
Movie,7.6,81,0,3,524451,3.9
Movie,7.9,93,0,3,919651,5
Movie,6.5,81,0,0,320725,5.7
Movie,6,71,1,4,164167,8.1
Movie,6.6,67,0,0,50162,8.1
Movie,7.3,100,0,0,55572,6.9
Movie,7.6,61,4,6,3675201,3.1
Movie,7.1,82,14,25,127910,3.7
Movie,4.1,24,0,2,20915465,1.7
Movie,6.6,75,1,21,168052812,3.4
Movie,6.3,60,4,10,18022,7.3
Movie,7.3,90,13,67,175750384,4
Movie,6.6,19,0,0,240978,1.8
Movie,7,92,2,11,27780977,4
Movie,7.5,93,11,8,18215,6.6
Movie,6.3,53,0,3,36880033,2.8
Movie,6,18,2,1,18600152,1.8
Movie,6.5,57,0,3,33125,3.8
Movie,5.5,14,1,3,28370522,3.8
Movie,6.2,37,0,1,6874837,2.4
Movie,7,65,0,1,34393507,3.2
Movie,7.4,81,11,14,1785901,3.7
Movie,7,83,5,13,1104622,3.8
Movie,7.4,88,16,42,5284284,4.1
Movie,6.5,96,9,18,1703036,8
Movie,7.6,44,5,2,553504,2.7
Movie,7,75,3,0,18654,7.8
Movie,5.6,24,1,1,32187017,1.9
Movie,7.4,86,4,13,757951,3.8
Movie,7.5,85,12,17,604037,4
Movie,8.1,95,54,20,909043,4.3
Movie,8.4,91,23,13,1223869,4.4
Movie,7,65,1,3,576639,3.2
Movie,7.6,89,6,9,1532594,3.9
Movie,5.3,34,1,2,538460,2.2
Movie,5.9,50,0,6,85364450,2.5
Movie,8.4,98,16,25,5017246,4.4
Movie,5.8,25,0,2,3614896,2
Movie,5.8,47,0,1,653951,2.6
Movie,5.3,9,6,8,1664648,1.6
Movie,7.4,96,9,13,115000000,4.5
Movie,7.1,100,12,5,72442,4.3
Movie,7.1,53,11,9,1710057,2.9
Movie,6.3,72,1,1,262599,3.3
Movie,6.7,32,0,16,47748,4.6
Movie,5.4,33,0,0,97049,6.5
Movie,6.3,53,4,21,175003033,2.8
Movie,5.7,44,0,8,443684,2.6
Movie,6.5,40,1,3,207481,6.8
Movie,6.8,14,1,6,31016021,1.7
Movie,7.7,85,56,73,21995263,3.9
Movie,7.5,94,2,4,38413606,4.1
Movie,6.3,59,0,4,14682684,3.9
Movie,6.4,57,1,7,43144,7.2
Movie,6,27,0,3,59689605,2.1
Movie,6.4,69,3,8,1799312,3.3
Movie,7.1,85,1,1,13406883,3.7
Movie,6.8,90,1,7,3603484,3.9
Movie,7.6,90,22,24,7251740,4.2
Movie,6.4,34,0,3,10378555,2.5
Movie,7.1,57,0,0,2122561,2.8
Movie,8,91,242,281,151101803,4.4
Movie,6.9,77,0,2,2751988,5.2
Movie,4.5,46,1,2,1323312,3.5
Movie,5.5,38,1,1,758868,5.6
Movie,5.9,69,1,2,9188,5.3
Movie,6.4,43,4,5,8106986,2.6
Movie,6,77,0,0,61797,3.3
Movie,6.9,84,2,4,3902185,3.6
Movie,7.5,87,7,13,64431625,3.6
Movie,5.9,25,2,3,13609396,2
Movie,5.7,33,0,7,60674817,2.3
Movie,6.1,82,0,4,2194521,6.9
Movie,5.6,21,1,2,38072438,1.9
Movie,6.2,87,1,11,13985117,3.8
Movie,6,40,1,6,45020282,2.3
Movie,5.9,18,0,1,44922302,1.9
Movie,6.2,81,3,8,3029287,3.5
Movie,7.5,89,9,15,54461047,3.8
Movie,6.1,88,1,1,3814868,5.9
Movie,5.9,35,2,4,30971040,2.3
Movie,6.3,50,0,2,96777,7.6
Movie,7.4,81,2,3,31886361,3.7
Movie,7.6,93,21,21,34670720,4.1
Movie,6.1,48,0,0,4439,6.6
Movie,5.2,67,0,0,321910,7.7
Movie,6.6,82,6,16,175702,7.4
Movie,8.1,95,68,104,2006788,4.3
Movie,5.3,47,1,3,180851,2.7
Movie,7.3,74,15,53,234037575,3.5
Movie,7.1,58,15,39,2022115,2.9
Movie,6.2,68,1,14,65206105,3.1
Movie,4.5,8,2,0,27793018,1.3
Movie,5.2,44,1,6,44898413,2.3
Movie,5.8,47,0,1,5617731,3.7
Movie,5.7,11,3,12,66184051,1.7
Movie,5.8,20,0,0,981817,4.9
Movie,6.4,82,5,19,30157,6.4
Movie,7.2,84,30,29,107362,4.6
Movie,5.7,24,1,1,2280004,1.9
Movie,6.7,62,1,2,18957,3.6
Movie,7.4,67,8,6,144254,3.4
Movie,5.7,18,2,1,54647948,1.9
Movie,6.2,39,1,0,60323786,2.3
Movie,7.2,83,6,57,7100177,3.9
Movie,7.8,93,37,88,169607287,4.1
Movie,6.8,69,1,1,5083906,3.3
Movie,5.5,26,1,7,54607383,2.1
Movie,6.7,97,0,0,125227,8.7
Movie,6.8,91,4,2,7137502,4
Movie,6.6,28,6,1,13651946,2.3
Movie,5.9,32,0,1,155936,4.3
Movie,6,60,0,4,87044645,3
Movie,6.1,80,9,24,1305195,3.6
Movie,6.1,70,0,3,73121,3.9
Movie,6.9,43,1,8,75468583,2.7
Movie,6.3,75,1,23,28660,3.5
Movie,7.6,82,3,2,2053648,4.6
Movie,7.2,92,58,116,57682904,4.1
Movie,6.3,85,13,44,30498085,3.7
Movie,6.7,42,1,5,7227038,2.6
Movie,6.6,69,5,13,20762,7.6
Movie,7.3,51,3,5,86260045,2.9
Movie,5.5,56,0,0,1455,5.7
Movie,7.1,61,1,11,40098064,3.2
Movie,8,89,35,16,6738000,4.2
Movie,8,89,35,16,6738000,4.2
Movie,8,89,35,16,6738000,4.2
Movie,8.2,86,27,15,20186659,4.2
Movie,8.2,86,27,15,20186659,4.2
Movie,8.2,86,27,15,20186659,4.2
Movie,6.6,80,18,16,800012,6.6
Movie,5.2,15,0,1,34916787,1.7
Movie,7.1,72,3,25,270448425,3.4
Movie,3.1,1,1,5,13235267,0.8
Movie,6.3,81,1,4,134552,3.5
Movie,5.7,55,3,10,3652206,2.9
Movie,4.6,0,0,0,3818664,1.1
Movie,5.4,15,0,1,10672566,1.8
Movie,4.2,19,0,0,22395806,1.6
Movie,6.8,87,8,10,10474,3.7
Movie,6.9,49,2,8,24185781,2.9
Movie,7.1,67,32,76,11114018,3.4
Movie,5.2,0,0,6,2807854,1.3
Movie,7.9,94,68,263,100546139,4.2
Movie,7.3,96,1,7,128986,8.5
Movie,7.2,79,0,2,21796,7.8
Movie,5.8,41,1,1,54767494,2.3
Movie,7.5,76,1,10,3500605,3.6
Movie,7.9,92,30,37,260354,4.2
Movie,7.9,99,31,50,7123919,4.5
Movie,5.8,18,0,2,26302731,1.8
Movie,6.1,38,1,0,58697076,2.4
